timestep,id,x,y,angle,speed,type
51.00,bike11.6,11.566213,48.134486,335.264246,5.350501,bicycle
51.00,bike11.7,11.566344,48.134278,335.264246,3.693336,bicycle
51.00,bike11.8,11.566430,48.134140,335.264246,1.248418,bicycle
51.00,pint05,11.567973,48.140530,59.385554,6.480000,passenger
52.00,bike11.0,11.565259,48.136250,354.257717,0.000000,bicycle
52.00,bike11.1,11.565290,48.136032,352.216129,5.969827,bicycle
52.00,bike11.2,11.565447,48.135710,337.613271,5.864109,bicycle
52.00,bike11.3,11.565613,48.135428,334.573564,5.821693,bicycle
52.00,bike11.4,11.565818,48.135111,334.593142,5.842752,bicycle
52.00,bike11.5,11.565998,48.134828,335.264246,5.842426,bicycle
52.00,bike11.6,11.566183,48.134534,335.264246,5.799859,bicycle
52.00,bike11.7,11.566322,48.134313,335.264246,4.137236,bicycle
52.00,bike11.8,11.566422,48.134154,335.264246,1.682363,bicycle
52.00,pint05,11.568057,48.140594,59.389401,9.080000,passenger
53.00,bike11.0,11.565259,48.136250,354.257717,0.000000,bicycle
53.00,bike11.1,11.565282,48.136084,352.216129,5.903049,bicycle
53.00,bike11.2,11.565419,48.135760,337.613271,5.989858,bicycle
53.00,bike11.3,11.565583,48.135476,336.744732,5.773577,bicycle
53.00,bike11.4,11.565786,48.135160,334.593142,5.950867,bicycle
53.00,bike11.5,11.565968,48.134876,335.264246,5.803761,bicycle
53.00,bike11.6,11.566153,48.134582,335.264246,5.763862,bicycle
53.00,bike11.7,11.566299,48.134350,335.264246,4.447977,bicycle
53.00,bike11.8,11.566411,48.134172,335.264246,2.132757,bicycle
53.00,pint05,11.568195,48.140645,59.389401,11.680000,passenger
54.00,bike11.0,11.565259,48.136250,354.257717,0.000000,bicycle
54.00,bike11.1,11.565274,48.136137,352.216129,5.837566,bicycle
54.00,bike11.2,11.565391,48.135811,337.613271,5.978427,bicycle
54.00,bike11.3,11.565555,48.135525,336.744732,5.875721,bicycle
54.00,bike11.4,11.565755,48.135209,334.593142,5.913190,bicycle
54.00,bike11.5,11.565938,48.134924,335.264246,5.836584,bicycle
54.00,bike11.6,11.566121,48.134632,335.264246,5.974736,bicycle
54.00,bike11.7,11.566274,48.134389,335.264246,4.750603,bicycle
54.00,bike11.8,11.566398,48.134192,335.264246,2.407090,bicycle
54.00,bike11.9,11.566442,48.134121,335.264246,0.000000,bicycle
54.00,pint05,11.568360,48.140705,59.389401,13.890000,passenger
55.00,bike11.0,11.565259,48.136250,354.257717,0.000000,bicycle
55.00,bike11.1,11.565268,48.136178,352.216129,4.681280,bicycle
55.00,bike11.2,11.565364,48.135859,337.613271,5.782118,bicycle
55.00,bike11.3,11.565526,48.135574,336.744732,5.799758,bicycle
55.00,bike11.4,11.565723,48.135258,334.593142,5.976269,bicycle
55.00,bike11.5,11.565907,48.134973,335.264246,5.945897,bicycle
55.00,bike11.6,11.566090,48.134681,335.264246,5.955895,bicycle
55.00,bike11.7,11.566248,48.134431,335.264246,5.039876,bicycle
55.00,bike11.8,11.566384,48.134215,335.264246,2.752360,bicycle
55.00,bike11.9,11.566440,48.134124,335.264246,0.370425,bicycle
55.00,pint05,11.568524,48.140765,59.389401,13.890000,passenger
56.00,bike11.0,11.565259,48.136250,354.257717,0.000000,bicycle
56.00,bike11.1,11.565263,48.136207,352.216129,3.181280,bicycle
56.00,bike11.2,11.565337,48.135908,337.592309,5.818757,bicycle
56.00,bike11.3,11.565497,48.135624,336.744732,5.981224,bicycle
56.00,bike11.4,11.565691,48.135307,334.573564,5.864089,bicycle
56.00,bike11.5,11.565876,48.135022,335.264246,5.834095,bicycle
56.00,bike11.6,11.566060,48.134729,335.264246,5.772786,bicycle
56.00,bike11.7,11.566220,48.134475,335.264246,5.294858,bicycle
56.00,bike11.8,11.566367,48.134241,335.264246,3.196751,bicycle
56.00,bike11.9,11.566437,48.134130,335.264246,0.664511,bicycle
56.00,pint05,11.568688,48.140825,59.389401,13.890000,passenger
57.00,bike11.0,11.565259,48.136250,354.257717,0.000000,bicycle
57.00,bike11.1,11.565262,48.136222,353.590877,1.738510,bicycle
57.00,bike11.2,11.565309,48.135958,337.592309,5.885191,bicycle
57.00,bike11.3,11.565468,48.135674,336.744732,5.951657,bicycle
57.00,bike11.4,11.565660,48.135355,334.573564,5.871881,bicycle
57.00,bike11.5,11.565845,48.135070,334.593142,5.829789,bicycle
57.00,bike11.6,11.566030,48.134777,335.264246,5.771444,bicycle
57.00,bike11.7,11.566191,48.134521,335.264246,5.656204,bicycle
57.00,bike11.8,11.566349,48.134270,335.264246,3.535064,bicycle
57.00,bike11.9,11.566432,48.134138,335.264246,1.008459,bicycle
57.00,pint05,11.568831,48.140874,62.066215,11.823333,passenger
58.00,bike11.0,11.565259,48.136250,354.257717,0.000000,bicycle
58.00,bike11.1,11.565261,48.136226,353.948373,0.350209,bicycle
58.00,bike11.2,11.565294,48.136009,352.216129,5.821307,bicycle
58.00,bike11.3,11.565440,48.135724,337.613271,5.963700,bicycle
58.00,bike11.4,11.565628,48.135404,334.573564,5.948920,bicycle
58.00,bike11.5,11.565814,48.135118,334.593142,5.863451,bicycle
58.00,bike11.6,11.565999,48.134826,335.264246,5.977084,bicycle
58.00,bike11.7,11.566160,48.134570,335.264246,5.845434,bicycle
58.00,bike11.8,11.566328,48.134303,335.264246,3.893538,bicycle
58.00,bike11.9,11.566424,48.134150,335.264246,1.393447,bicycle
58.00,pint05,11.568919,48.140904,60.772826,7.323333,passenger
59.00,bike11.0,11.565259,48.136250,354.257717,0.000000,bicycle
59.00,bike11.1,11.565261,48.136227,354.113216,0.161499,bicycle
59.00,bike11.2,11.565286,48.136062,352.216129,5.900498,bicycle
59.00,bike11.3,11.565412,48.135773,337.613271,5.846386,bicycle
59.00,bike11.4,11.565597,48.135453,335.446013,5.919653,bicycle
59.00,bike11.5,11.565782,48.135167,334.593142,5.934298,bicycle
59.00,bike11.6,11.565968,48.134876,335.264246,5.979969,bicycle
59.00,bike11.7,11.566130,48.134618,335.264246,5.761203,bicycle
59.00,bike11.8,11.566306,48.134339,335.264246,4.343887,bicycle
59.00,bike11.9,11.566415,48.134165,335.264246,1.799040,bicycle
59.00,pint05,11.568953,48.140915,61.145540,2.823333,passenger
60.00,bike11.0,11.565259,48.136250,354.257717,0.000000,bicycle
60.00,bike11.1,11.565261,48.136227,354.145584,0.031712,bicycle
60.00,bike11.10,11.566442,48.134121,335.264246,0.000000,bicycle
60.00,bike11.2,11.565278,48.136114,352.216129,5.809266,bicycle
60.00,bike11.3,11.565384,48.135823,337.613271,5.973235,bicycle
60.00,bike11.4,11.565568,48.135502,336.744732,5.867095,bicycle
60.00,bike11.5,11.565751,48.135215,334.593142,5.855035,bicycle
60.00,bike11.6,11.565937,48.134924,335.264246,5.865847,bicycle
60.00,bike11.7,11.566100,48.134665,335.264246,5.760358,bicycle
60.00,bike11.8,11.566281,48.134378,335.264246,4.743845,bicycle
60.00,bike11.9,11.566404,48.134183,335.264246,2.203875,bicycle
60.00,pint05,11.568953,48.140915,61.145540,0.000000,passenger
60.00,tint05,11.568292,48.140152,299.835634,8.137041,truck
61.00,bike11.0,11.565259,48.136250,354.257717,0.000000,bicycle
61.00,bike11.1,11.565261,48.136227,354.149006,0.003353,bicycle
61.00,bike11.10,11.566441,48.134124,335.264246,0.330166,bicycle
61.00,bike11.2,11.565271,48.136155,352.216129,4.641297,bicycle
61.00,bike11.3,11.565356,48.135874,337.613271,5.982227,bicycle
61.00,bike11.4,11.565539,48.135551,336.744732,5.848076,bicycle
61.00,bike11.5,11.565719,48.135264,334.593142,5.927687,bicycle
61.00,bike11.6,11.565907,48.134973,335.264246,5.869358,bicycle
61.00,bike11.7,11.566070,48.134714,335.264246,5.895634,bicycle
61.00,bike11.8,11.566254,48.134421,335.264246,5.163317,bicycle
61.00,bike11.9,11.566390,48.134205,335.264246,2.616010,bicycle
61.00,pint05,11.568953,48.140915,61.145540,0.000000,passenger
61.00,tint05,11.568210,48.140200,309.673121,8.195629,truck
62.00,bike11.0,11.565259,48.136250,354.257717,0.000000,bicycle
62.00,bike11.1,11.565261,48.136227,354.149917,0.000893,bicycle
62.00,bike11.10,11.566436,48.134131,335.264246,0.820117,bicycle
62.00,bike11.2,11.565267,48.136185,352.216129,3.347962,bicycle
62.00,bike11.3,11.565328,48.135923,337.592309,5.842110,bicycle
62.00,bike11.4,11.565510,48.135601,336.744732,5.968417,bicycle
62.00,bike11.5,11.565687,48.135313,334.573564,5.937733,bicycle
62.00,bike11.6,11.565876,48.135022,335.264246,5.899641,bicycle
62.00,bike11.7,11.566039,48.134763,335.264246,5.857018,bicycle
62.00,bike11.8,11.566225,48.134466,335.264246,5.488164,bicycle
62.00,bike11.9,11.566374,48.134229,335.264246,2.973972,bicycle
62.00,pint05,11.568953,48.140915,61.145540,0.000000,passenger
62.00,tint05,11.568123,48.140246,306.407405,8.212512,truck
63.00,bike11.0,11.565259,48.136250,354.257717,0.000000,bicycle
63.00,bike11.1,11.565261,48.136227,354.150278,0.000355,bicycle
63.00,bike11.10,11.566429,48.134142,335.264246,1.311128,bicycle
63.00,bike11.2,11.565264,48.136202,352.216129,1.847962,bicycle
63.00,bike11.3,11.565301,48.135972,337.592309,5.803475,bicycle
63.00,bike11.4,11.565481,48.135651,336.744732,5.971672,bicycle
63.00,bike11.5,11.565656,48.135361,334.573564,5.795371,bicycle
63.00,bike11.6,11.565845,48.135070,334.593142,5.831119,bicycle
63.00,bike11.7,11.566008,48.134812,335.264246,5.959866,bicycle
63.00,bike11.8,11.566195,48.134514,335.264246,5.760031,bicycle
63.00,bike11.9,11.566356,48.134258,335.264246,3.450310,bicycle
63.00,pint05,11.568953,48.140915,61.145540,0.000000,passenger
63.00,tint05,11.568047,48.140294,311.135646,7.779084,truck
64.00,bike11.0,11.565259,48.136250,354.257717,0.000000,bicycle
